Год,Метка_норм,Административный истец,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2017,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",366,330,90.0,36,9.0,27,263,71.0,2259,7
2016,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",1339,1336,99.0,3,0.0,0,1334,99.0,6597,5
2017,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",1827,1825,99.0,2,0.0,5,1822,99.0,18966,10
2016,Орган государственной власти,Орган государственной власти,1345663,1312814,97.0,32849,2.0,38291,1080794,80.0,16465661,13
2017,Орган государственной власти,Орган государственной власти,1797933,1760313,97.0,37620,2.0,13040,1671218,93.0,21830110,12
2016,Иной государственный орган,Иной государственный орган,1718727,1713232,99.0,5495,0.0,4889,1682293,97.0,17341382,10
2017,Иной государственный орган,Иной государственный орган,1721757,1715180,99.0,6577,0.0,2983,1697386,98.0,17298101,10
2016,Орган местного самоуправления,Орган местного самоуправления,22623,20135,89.0,2488,11.0,1368,15584,68.0,294461,15
2017,Орган местного самоуправления,Орган местного самоуправления,19335,17120,88.0,2215,11.0,1275,12813,66.0,105563,6
2016,Избирательная комиссия,Избирательная комиссия,1491,1413,94.0,78,5.0,51,973,65.0,11724,8
2017,Избирательная комиссия,Избирательная комиссия,190,169,88.0,21,11.0,19,0,0.0,304,2
2016,Комиссия референдума,Комиссия референдума,76,74,97.0,2,2.0,1,72,94.0,3085,42
2017,Комиссия референдума,Комиссия референдума,1,0,0.0,1,100.0,0,0,0.0,0,0
2016,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",524774,501597,95.0,23177,4.0,31595,299716,57.0,8285253,17
2017,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",302111,292680,96.0,9431,3.0,4560,257081,85.0,5328228,18
2016,Должностное лицо,Должностное лицо,70400,69448,98.0,952,1.0,5295,46154,65.0,629572,9
2017,Должностное лицо,Должностное лицо,67762,66483,98.0,1279,1.0,5616,31251,46.0,263940,4
2019,Гражданин Российской Федерации,Гражданин Российской Федерации,134460,77409,57.0,57051,42.0,14,28297,21.0,551406,7
2024,Гражданин Российской Федерации,Гражданин Российской Федерации,167803,76178,45.0,91625,54.0,16,2931,1.0,532230,6
2018,Гражданин Российской Федерации,Гражданин Российской Федерации,133003,79000,59.4,54003,40.6,1,35795,26.9,539620,7
2020,Гражданин Российской Федерации,Гражданин Российской Федерации,158133,103682,65.0,54451,34.0,7,54927,34.0,31987,0
2022,Гражданин Российской Федерации,Гражданин Российской Федерации,138257,64848,46.0,73409,53.0,29,4683,3.0,8357316,128
2021,Гражданин Российской Федерации,Гражданин Российской Федерации,120253,56991,47.0,63262,52.0,15,3881,3.0,228623,4
2023,Гражданин Российской Федерации,Гражданин Российской Федерации,154486,69246,45.0,85240,55.0,0,898,1.0,1552636,22
2019,Иностранный гражданин,Иностранный гражданин,5128,1614,31.0,3514,68.0,22992,0,0.0,1,0
2024,Иностранный гражданин,Иностранный гражданин,5143,1416,27.0,3727,72.0,34234,0,0.0,3069,2
