Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2018,262,Статья 262 УК РФ,3,0,0,0,0,1,1,1,0
2024,240 ч.1,Статья 240 часть 1,0,0,0,0,0,0,0,0,0
2020,259,Статья 259 УК РФ,0,0,0,0,0,0,0,0,0
2022,251 ч.3,Статья 251 ч. 3,0,0,0,0,0,0,0,0,0
2021,250 ч.1,Статья 250 ч. 1,1,0,0,0,0,1,0,0,0
2023,242 ч.1,Статья 242 часть 1,7,0,1,0,0,5,0,0,0
2019,257,Статья 257 УК РФ,0,0,0,0,0,0,0,0,2
2018,263 ч.1,Статья 263 часть 1 УК РФ,16,0,0,0,10,6,0,0,0
2024,240 ч.2,Статья 240 часть 2,14,0,2,12,0,0,0,0,0
2020,260 ч.1,Статья 260 часть 1 УК РФ,683,1,14,67,0,165,40,351,0
2022,252 ч.1,Статья 252 ч. 1,0,0,0,0,0,0,0,0,0
2021,250 ч.2,Статья 250 ч. 2,0,0,0,0,0,0,0,0,0
2023,242 ч.2,Статья 242 часть 2,2,0,0,1,0,0,0,0,0
2019,258 ч.1,Статья 258 часть 1 УК РФ,108,0,0,2,0,38,41,10,78
2018,263 ч.2,Статья 263 часть 2 УК РФ,10,0,1,6,0,0,0,0,0
2024,240 ч.3,Статья 240 часть 3,42,0,19,21,0,0,0,0,0
2020,260 ч.2,Статья 260 часть 2 УК РФ,530,0,16,479,2,26,2,2,0
2022,252 ч.2,Статья 252 ч. 2,0,0,0,0,0,0,0,0,0
2021,250 ч.3,Статья 250 ч. 3,0,0,0,0,0,0,0,0,0
2023,242 ч.3,Статья 242 часть 3,317,1,37,242,3,17,5,2,9
2019,258 ч.2,Статья 258 часть 2 УК РФ,230,0,1,138,0,72,1,3,153
2018,263 ч.3,Статья 263 часть 3 УК РФ,5,0,4,1,0,0,0,0,0
2024,240.1,Статья 240.1,3,0,0,1,1,0,0,1,0
2020,260 ч.3,Статья 260 часть 3 УК РФ,1280,5,160,1030,2,45,10,6,0
2022,252 ч.3,Статья 252 ч. 3,0,0,0,0,0,0,0,0,0
2021,251 ч.1,Статья 251 ч. 1,2,0,0,0,0,0,0,2,0
2023,242.1 ч.1,Статья 242.1 часть 1,0,0,0,0,0,0,0,0,0
2019,258.1 ч.1,Статья 258.1 часть 1 УК РФ,211,0,5,17,0,1,38,113,137
2018,263.1 ч.1,Статья 263.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,241 ч.1,Статья 241 часть 1,337,0,10,107,0,208,0,0,0
2020,261 ч.1,Статья 261 часть 1 УК РФ,13,0,0,2,0,1,1,5,0
2022,253 ч.1,Статья 253 ч. 1,0,0,0,0,0,0,0,0,0
2021,251 ч.2,Статья 251 ч. 2,1,0,0,0,0,1,0,0,0
2023,242.1 ч.2,Статья 242.1 часть 2,0,0,0,0,0,0,0,0,0
2019,258.1 ч.1.1,Статья 258.1 часть 1.1 УК РФ,1,0,0,1,0,0,0,0,0
2018,263.1 ч.2,Статья 263.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,241 ч.2,Статья 241 часть 2,21,0,9,12,0,0,0,0,0
2020,261 ч.2,Статья 261 часть 2 УК РФ,17,0,0,4,0,0,1,10,0
2022,253 ч.2,Статья 253 ч. 2,0,0,0,0,0,0,0,0,0
2021,251 ч.3,Статья 251 ч. 3,0,0,0,0,0,0,0,0,0
2023,242.1 ч.1,Статья 242.1 часть 1,4,0,0,4,0,0,0,0,0
2019,258.1 ч.2,Статья 258.1 часть 2 УК РФ,1,0,0,1,0,0,0,0,0
2018,263.1 ч.3,Статья 263.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,241 ч.3,Статья 241 часть 3,0,0,0,0,0,0,0,0,0
2020,261 ч.3,Статья 261 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,253 ч.3,Статья 253 ч. 3,2,0,0,0,0,2,0,0,0
2021,252 ч.1,Статья 252 ч. 1,0,0,0,0,0,0,0,0,0
2023,242.1 ч.2,Статья 242.1 часть 2,186,1,65,92,7,4,13,3,9
2019,258.1 ч.2.1,Статья 258.1 часть 2.1 УК РФ,0,0,0,0,0,0,0,0,0
2018,263.1 ч.4,Статья 263.1 часть 4 УК РФ,1,0,1,0,0,0,0,0,0
2024,242,Статья 242,0,0,0,0,0,0,0,0,0
2020,261 ч.4,Статья 261 часть 4 УК РФ,2,0,0,2,0,0,0,0,0
2022,254 ч.1,Статья 254 ч. 1,4,0,0,0,0,2,0,1,0
2021,252 ч.2,Статья 252 ч. 2,0,0,0,0,0,0,0,0,0
2023,242.2 ч.1,Статья 242.2 часть 1,18,0,11,7,0,0,0,0,0
2019,258.1 ч.3,Статья 258.1 часть 3 УК РФ,30,0,13,17,0,0,0,0,0
2018,264 ч.1,Статья 264 часть 1 УК РФ,4189,8,56,152,3643,168,24,22,13
2024,242 ч.1,Статья 242 часть 1,4,0,0,0,0,3,0,0,0
2020,262,Статья 262 УК РФ,7,0,0,0,0,2,0,4,0
2022,254 ч.2,Статья 254 ч. 2,0,0,0,0,0,0,0,0,0
2021,252 ч.3,Статья 252 ч. 3,0,0,0,0,0,0,0,0,0
2023,242.2 ч.2,Статья 242.2 часть 2,30,0,25,4,0,1,0,0,2
2019,258.1 ч.3.1,Статья 258.1 часть 3.1 УК РФ,0,0,0,0,0,0,0,0,0
2018,264 ч.2,Статья 264 часть 2 УК РФ,1289,0,442,814,11,6,0,4,6
2024,242 ч.2,Статья 242 часть 2,0,0,0,0,0,0,0,0,0
2020,263 ч.1,Статья 263 часть 1 УК РФ,15,0,0,0,5,9,0,0,0
2022,254 ч.3,Статья 254 ч. 3,0,0,0,0,0,0,0,0,0
2021,253 ч.1,Статья 253 ч. 1,0,0,0,0,0,0,0,0,0
2023,243 ч.1,Статья 243 часть 1,7,0,1,0,0,1,0,5,1
2019,259,Статья 259 УК РФ,0,0,0,0,0,0,0,0,0
2018,264 ч.3,Статья 264 часть 3 УК РФ,2489,9,1193,1240,12,4,3,1,10
2024,242 ч.3,Статья 242 часть 3,394,0,62,292,3,21,7,3,20
2020,263 ч.1.1,Статья 263 часть 1.1 УК РФ,2,0,0,1,1,0,0,0,0
2022,255 ч.1,Статья 255 ч. 1,0,0,0,0,0,0,0,0,0
2021,253 ч.2,Статья 253 ч. 2,0,0,0,0,0,0,0,0,0
2023,243 ч.2,Статья 243 часть 2,2,0,0,1,0,1,0,0,0
2019,260 ч.1,Статья 260 часть 1 УК РФ,884,0,12,71,0,207,41,475,384
2018,264 ч.4,Статья 264 часть 4 УК РФ,946,0,804,140,1,0,0,0,1
2024,242.1 ч.1,Статья 242.1 часть 1,0,0,0,0,0,0,0,0,0
2020,263 ч.1.2,Статья 263 часть 1.2 УК РФ,0,0,0,0,0,0,0,0,0
2022,255 ч.2,Статья 255 ч. 2,2,0,0,1,0,0,1,0,0
2021,253 ч.3,Статья 253 ч. 3,9,0,0,0,0,9,0,0,0
2023,243.1,Статья 243.1,0,0,0,0,0,0,0,0,0
2019,260 ч.2,Статья 260 часть 2 УК РФ,662,0,17,607,2,29,2,2,247
2018,264 ч.5,Статья 264 часть 5 УК РФ,433,2,344,85,0,0,1,0,1
2024,242.1 ч.2,Статья 242.1 часть 2,0,0,0,0,0,0,0,0,0
2020,263 ч.2,Статья 263 часть 2 УК РФ,10,0,3,7,0,0,0,0,0
2022,255 ч.3,Статья 255 ч. 3,0,0,0,0,0,0,0,0,0
2021,254 ч.1,Статья 254 ч. 1,4,0,0,0,0,2,0,0,0
2023,243.2 ч.1,Статья 243.2 часть 1,0,0,0,0,0,0,0,0,0
2019,260 ч.3,Статья 260 часть 3 УК РФ,1749,5,270,1376,4,54,7,6,2
2018,264 ч.6,Статья 264 часть 6 УК РФ,123,0,118,2,1,0,0,0,1
2024,242.1 ч.1,Статья 242.1 часть 1,3,0,0,3,0,0,0,0,0
2020,263 ч.2.1,Статья 263 часть 2.1 УК РФ,1,0,1,0,0,0,0,0,0
2022,256 ч.1,Статья 256 ч. 1,1694,0,28,104,0,310,211,869,10
2021,254 ч.2,Статья 254 ч. 2,0,0,0,0,0,0,0,0,0
2023,243.2 ч.2,Статья 243.2 часть 2,0,0,0,0,0,0,0,0,0
2019,261 ч.1,Статья 261 часть 1 УК РФ,11,0,1,1,0,0,1,6,4
2018,264.1,Статья 264.1 УК РФ,66287,9,6852,7319,17,3460,7,48456,87
2024,242.1 ч.2,Статья 242.1 часть 2,220,1,90,109,7,5,5,4,9
2020,263 ч.3,Статья 263 часть 3 УК РФ,5,0,4,1,0,0,0,0,0
2022,256 ч.2,Статья 256 ч. 2,0,0,0,0,0,0,0,0,0
2021,254 ч.3,Статья 254 ч. 3,0,0,0,0,0,0,0,0,0
2023,243.2 ч.3,Статья 243.2 часть 3,14,0,2,4,0,8,0,0,0
2019,261 ч.2,Статья 261 часть 2 УК РФ,24,0,0,10,0,0,1,11,4
2018,265,Статья 265 УК РФ,0,0,0,0,0,0,0,0,0
2024,242.2 ч.1,Статья 242.2 часть 1,10,0,6,4,0,0,0,0,0
2020,263 ч.4,Статья 263 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,256 ч.3,Статья 256 ч. 3,915,5,33,732,0,139,3,3,4
2021,255 ч.1,Статья 255 ч. 1,0,0,0,0,0,0,0,0,0
2023,243.3 ч.1,Статья 243.3 часть 1,0,0,0,0,0,0,0,0,0
2019,261 ч.3,Статья 261 часть 3 УК РФ,1,0,0,0,0,1,0,0,0
2018,266 ч.1,Статья 266 часть 1 УК РФ,1,0,0,0,0,0,0,0,0
2024,242.2 ч.2,Статья 242.2 часть 2,25,0,24,1,0,0,0,0,0
2020,263.1 ч.1,Статья 263.1 часть 1 УК РФ,1,0,0,0,0,1,0,0,0
2022,257,Статья 257,1,0,0,0,0,1,0,0,0
2021,255 ч.2,Статья 255 ч. 2,5,0,0,0,0,0,0,5,0
2023,243.3 ч.2,Статья 243.3 часть 2,0,0,0,0,0,0,0,0,0
2019,261 ч.4,Статья 261 часть 4 УК РФ,2,0,1,0,0,1,0,0,0
2018,266 ч.2,Статья 266 часть 2 УК РФ,3,0,2,1,0,0,0,0,0
2024,243 ч.1,Статья 243 часть 1,3,0,1,0,0,0,0,2,0
2020,263.1 ч.2,Статья 263.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,258 ч.1,Статья 258 ч. 1,121,3,1,2,0,67,32,0,1
2021,255 ч.3,Статья 255 ч. 3,0,0,0,0,0,0,0,0,0
2023,243.4 ч.1,Статья 243.4 часть 1,3,0,0,1,0,2,0,0,1
2019,262,Статья 262 УК РФ,3,0,0,0,0,1,0,2,0
2018,266 ч.3,Статья 266 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,243 ч.2,Статья 243 часть 2,5,0,0,1,0,3,0,1,0
2020,263.1 ч.3,Статья 263.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,258 ч.2,Статья 258 ч. 2,239,0,8,175,0,53,0,0,0
2021,256 ч.1,Статья 256 ч. 1,1570,0,23,124,1,247,202,807,12
2023,243.4 ч.2,Статья 243.4 часть 2,9,0,2,0,0,1,0,5,7
2019,263 ч.1,Статья 263 часть 1 УК РФ,15,0,0,0,7,6,0,0,12
2018,267 ч.1,Статья 267 часть 1 УК РФ,1,0,0,0,0,1,0,0,0
2024,243.1,Статья 243.1,1,0,0,0,0,1,0,0,0
2020,263.1 ч.4,Статья 263.1 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,258.1 ч.1,Статья 258.1 ч. 1,191,0,6,48,0,6,20,82,0
2021,256 ч.2,Статья 256 ч. 2,0,0,0,0,0,0,0,0,0
2023,244 ч.1,Статья 244 часть 1,17,0,0,0,0,5,5,5,13
2019,263 ч.1.1,Статья 263 часть 1.1 УК РФ,0,0,0,0,0,0,0,0,1
2018,267 ч.2,Статья 267 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,243.2 ч.1,Статья 243.2 часть 1,0,0,0,0,0,0,0,0,0
2020,264 ч.1,Статья 264 часть 1 УК РФ,3299,4,62,142,2776,127,24,59,0
2022,258.1 ч.1.1,Статья 258.1 ч. 1.1,1,0,0,1,0,0,0,0,0
2021,256 ч.3,Статья 256 ч. 3,833,0,37,685,0,99,1,5,5
2023,244 ч.2,Статья 244 часть 2,5,0,4,1,0,0,0,0,0
2019,263 ч.1.2,Статья 263 часть 1.2 УК РФ,0,0,0,0,0,0,0,0,0
2018,267 ч.3,Статья 267 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,243.2 ч.2,Статья 243.2 часть 2,0,0,0,0,0,0,0,0,0
2020,264 ч.2,Статья 264 часть 2 УК РФ,1218,0,391,791,10,5,4,2,0
2022,258.1 ч.2,Статья 258.1 ч. 2,7,0,0,7,0,0,0,0,0
2021,257,Статья 257,0,0,0,0,0,0,0,0,0
2023,245 ч.1,Статья 245 часть 1,95,1,8,8,10,24,11,32,6
2019,263 ч.2,Статья 263 часть 2 УК РФ,3,0,1,2,0,0,0,0,3
2018,267.1,Статья 267.1 УК РФ,5,0,0,0,3,2,0,0,0
2024,243.2 ч.3,Статья 243.2 часть 3,4,0,0,0,0,3,0,0,0
2020,264 ч.3,Статья 264 часть 3 УК РФ,1924,6,876,1024,4,0,2,0,0
2022,258.1 ч.2.1,Статья 258.1 ч. 2.1,0,0,0,0,0,0,0,0,0
2021,258 ч.1,Статья 258 ч. 1,119,0,2,3,0,67,30,2,0
2023,245 ч.2,Статья 245 часть 2,63,0,5,14,0,6,30,0,6
2019,263 ч.2.1,Статья 263 часть 2.1 УК РФ,0,0,0,0,0,0,0,0,0
2018,268 ч.1,Статья 268 часть 1 УК РФ,11,0,0,1,9,0,0,0,0
2024,243.3 ч.1,Статья 243.3 часть 1,0,0,0,0,0,0,0,0,0
2020,264 ч.4,Статья 264 часть 4 УК РФ,869,1,757,111,0,0,0,0,0
2022,258.1 ч.3,Статья 258.1 ч. 3,161,1,38,116,0,0,2,3,0
2021,258 ч.2,Статья 258 ч. 2,194,1,10,140,0,37,0,2,0
2023,246,Статья 246,8,0,0,1,0,5,1,1,0
2019,263 ч.3,Статья 263 часть 3 УК РФ,7,0,1,4,0,0,0,0,0
2018,268 ч.2,Статья 268 часть 2 УК РФ,8,0,3,5,0,0,0,0,0
2024,243.3 ч.2,Статья 243.3 часть 2,0,0,0,0,0,0,0,0,0
2020,264 ч.5,Статья 264 часть 5 УК РФ,305,1,235,63,0,0,0,0,0
2022,258.1 ч.3.1,Статья 258.1 ч. 3.1,0,0,0,0,0,0,0,0,0
2021,258.1 ч.1,Статья 258.1 ч. 1,204,0,4,42,0,1,27,108,1
2023,247 ч.1,Статья 247 часть 1,0,1,0,0,0,0,0,0,0
2019,263 ч.4,Статья 263 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,268 ч.3,Статья 268 часть 3 УК РФ,3,1,3,0,0,0,0,0,0
2024,243.4 ч.1,Статья 243.4 часть 1,3,0,0,0,0,3,0,0,0
2020,264 ч.6,Статья 264 часть 6 УК РФ,83,0,79,4,0,0,0,0,0
2022,259,Статья 259,0,0,0,0,0,0,0,0,0
2021,258.1 ч.1.1,Статья 258.1 ч. 1.1,0,0,0,0,0,0,0,0,0
2023,247 ч.2,Статья 247 часть 2,2,0,0,0,0,2,0,0,0
2019,263.1 ч.1,Статья 263.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,1
2018,269 ч.1,Статья 269 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,243.4 ч.2,Статья 243.4 часть 2,11,0,3,1,0,0,0,4,1
2020,264.1,Статья 264.1 УК РФ,57731,9,7865,7200,24,2535,3,39886,0
2022,260 ч.1,Статья 260 ч. 1,750,1,11,45,0,257,36,338,17
2021,258.1 ч.2,Статья 258.1 ч. 2,4,0,0,4,0,0,0,0,0
2023,247 ч.3,Статья 247 часть 3,0,0,0,0,0,0,0,0,0
2019,263.1 ч.2,Статья 263.1 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2018,269 ч.2,Статья 269 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,244 ч.1,Статья 244 часть 1,24,0,0,0,0,6,5,10,13
2020,265,Статья 265 УК РФ,0,0,0,0,0,0,0,0,0
2022,260 ч.2,Статья 260 ч. 2,659,2,14,593,1,37,4,4,5
2021,258.1 ч.2.1,Статья 258.1 ч. 2.1,0,0,0,0,0,0,0,0,0
2023,248 ч.1,Статья 248 часть 1,0,0,0,0,0,0,0,0,0
2019,263.1 ч.3,Статья 263.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2018,269 ч.3,Статья 269 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,244 ч.2,Статья 244 часть 2,13,0,6,1,5,0,0,0,0
2020,266 ч.1,Статья 266 часть 1 УК РФ,1,0,0,0,1,0,0,0,0
2022,260 ч.3,Статья 260 ч. 3,1685,3,254,1266,3,61,12,21,3
2021,258.1 ч.3,Статья 258.1 ч. 3,155,0,42,112,0,0,0,1,0
2023,248 ч.2,Статья 248 часть 2,0,0,0,0,0,0,0,0,0
2019,263.1 ч.4,Статья 263.1 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,270,Статья 270 УК РФ,0,0,0,0,0,0,0,0,0
2024,245 ч.1,Статья 245 часть 1,121,0,9,9,5,45,11,38,4
2020,266 ч.2,Статья 266 часть 2 УК РФ,3,0,3,0,0,0,0,0,0
2022,261 ч.1,Статья 261 ч. 1,20,0,0,0,0,0,1,16,2
2021,258.1 ч.3.1,Статья 258.1 ч. 3.1,3,0,0,3,0,0,0,0,0
2023,249 ч.1,Статья 249 часть 1,1,0,0,0,0,0,0,1,0
2019,264 ч.1,Статья 264 часть 1 УК РФ,4283,11,130,209,3239,196,34,366,1063
2018,271,Статья 271 УК РФ,0,0,0,0,0,0,0,0,0
2024,245 ч.2,Статья 245 часть 2,70,1,5,14,0,8,31,0,6
2020,266 ч.3,Статья 266 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,261 ч.2,Статья 261 ч. 2,9,0,0,2,0,0,4,3,0
2021,259,Статья 259,0,0,0,0,0,0,0,0,0
2023,249 ч.2,Статья 249 часть 2,0,0,0,0,0,0,0,0,0
2019,264 ч.2,Статья 264 часть 2 УК РФ,1113,1,371,713,3,6,1,3,59
2018,271.1 ч.1,Статья 271.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,246,Статья 246,15,1,0,3,0,7,3,0,0
2020,267 ч.1,Статья 267 часть 1 УК РФ,2,0,0,2,0,0,0,0,0
2022,261 ч.3,Статья 261 ч. 3,0,1,0,0,0,0,0,0,0
2021,260 ч.1,Статья 260 ч. 1,637,2,6,69,0,165,21,326,10
2023,250 ч.1,Статья 250 часть 1,2,0,0,0,0,2,0,0,0
2019,264 ч.3,Статья 264 часть 3 УК РФ,2329,12,1176,1106,11,5,0,0,202
2018,271.1 ч.2,Статья 271.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,247 ч.1,Статья 247 часть 1,0,0,0,0,0,0,0,0,0
2020,267 ч.2,Статья 267 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,261 ч.4,Статья 261 ч. 4,2,0,0,2,0,0,0,0,0
2021,260 ч.2,Статья 260 ч. 2,586,0,8,532,4,28,2,4,4
2023,250 ч.2,Статья 250 часть 2,2,0,0,0,0,1,0,0,0
2019,264 ч.4,Статья 264 часть 4 УК РФ,848,1,720,125,2,1,0,0,9
2018,272 ч.1,Статья 272 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,247 ч.2,Статья 247 часть 2,3,0,0,0,0,3,0,0,0
2020,267 ч.3,Статья 267 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,262,Статья 262,6,0,0,0,0,3,0,3,0
2021,260 ч.3,Статья 260 ч. 3,1569,6,213,1253,0,53,12,9,6
2023,250 ч.3,Статья 250 часть 3,0,0,0,0,0,0,0,0,0
2019,264 ч.5,Статья 264 часть 5 УК РФ,372,1,291,77,0,1,0,0,12
2018,272 ч.2,Статья 272 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,247 ч.3,Статья 247 часть 3,0,0,0,0,0,0,0,0,0
2020,267.1,Статья 267.1 УК РФ,1,0,1,0,0,0,0,0,0
2022,263 ч.1,Статья 263 ч. 1,21,0,0,0,4,14,0,0,0
2021,261 ч.1,Статья 261 ч. 1,3,0,0,0,0,0,0,3,1
2023,251 ч.1,Статья 251 часть 1,2,0,0,0,0,1,0,1,0
2019,264 ч.6,Статья 264 часть 6 УК РФ,121,0,119,2,0,0,0,0,0
2018,272 ч.1,Статья 272 часть 1 УК РФ,7,0,0,1,0,6,0,0,0
2024,248 ч.1,Статья 248 часть 1,0,0,0,0,0,0,0,0,0
2020,268 ч.1,Статья 268 часть 1 УК РФ,8,0,0,1,7,0,0,0,0
2022,263 ч.1.1,Статья 263 ч. 1.1,3,0,0,0,2,1,0,0,0
2021,261 ч.2,Статья 261 ч. 2,24,0,1,4,0,1,2,14,2
2023,251 ч.2,Статья 251 часть 2,0,0,0,0,0,0,0,0,0
2019,264.1,Статья 264.1 УК РФ,59543,12,8003,7037,19,3019,18,41192,249
2018,272 ч.2,Статья 272 часть 2 УК РФ,12,1,0,4,1,3,4,0,0
2024,248 ч.2,Статья 248 часть 2,0,0,0,0,0,0,0,0,0
2020,268 ч.2,Статья 268 часть 2 УК РФ,8,0,2,3,3,0,0,0,0
2022,263 ч.1.2,Статья 263 ч. 1.2,1,0,1,0,0,0,0,0,0
2021,261 ч.3,Статья 261 ч. 3,1,0,1,0,0,0,0,0,1
2023,251 ч.3,Статья 251 часть 3,0,0,0,0,0,0,0,0,0
2019,265,Статья 265 УК РФ,0,0,0,0,0,0,0,0,0
2018,272 ч.3,Статья 272 часть 3 УК РФ,29,0,2,10,8,9,0,0,0
2024,249 ч.1,Статья 249 часть 1,8,0,0,0,1,3,2,0,0
2020,268 ч.3,Статья 268 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,263 ч.2,Статья 263 ч. 2,13,0,2,10,0,0,0,0,0
2021,261 ч.4,Статья 261 ч. 4,0,0,0,0,0,0,0,0,0
2023,252 ч.1,Статья 252 часть 1,0,0,0,0,0,0,0,0,0
2019,266 ч.1,Статья 266 часть 1 УК РФ,1,0,0,0,1,0,0,0,0
2018,272 ч.4,Статья 272 часть 4 УК РФ,2,0,0,2,0,0,0,0,0
2024,249 ч.2,Статья 249 часть 2,1,0,0,0,0,1,0,0,0
2020,269 ч.1,Статья 269 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,263 ч.2.1,Статья 263 ч. 2.1,3,0,0,3,0,0,0,0,0
2021,262,Статья 262,2,0,0,0,0,1,0,1,0
2023,252 ч.2,Статья 252 часть 2,0,0,0,0,0,0,0,0,0
2019,266 ч.2,Статья 266 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,273 ч.1,Статья 273 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,250 ч.1,Статья 250 часть 1,2,0,0,0,0,1,1,0,0
2020,269 ч.2,Статья 269 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,263 ч.3,Статья 263 ч. 3,3,1,1,2,0,0,0,0,0
2021,263 ч.1,Статья 263 ч. 1,23,0,0,0,5,15,0,0,0
2023,252 ч.3,Статья 252 часть 3,0,0,0,0,0,0,0,0,0
2019,266 ч.3,Статья 266 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2018,273 ч.2,Статья 273 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,250 ч.2,Статья 250 часть 2,0,0,0,0,0,0,0,0,0
2020,269 ч.3,Статья 269 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,263 ч.4,Статья 263 ч. 4,0,0,0,0,0,0,0,0,0
2021,263 ч.1.1,Статья 263 ч. 1.1,4,0,0,0,2,2,0,0,0
2023,253 ч.1,Статья 253 часть 1,0,0,0,0,0,0,0,0,0
2019,267 ч.1,Статья 267 часть 1 УК РФ,1,0,0,1,0,0,0,0,0
2018,273 ч.1,Статья 273 часть 1 УК РФ,27,0,0,12,14,1,0,0,1
2024,250 ч.3,Статья 250 часть 3,0,0,0,0,0,0,0,0,0
2020,270,Статья 270 УК РФ,0,0,0,0,0,0,0,0,0
2022,263.1 ч.1,Статья 263.1 ч. 1,0,0,0,0,0,0,0,0,0
2021,263 ч.1.2,Статья 263 ч. 1.2,0,0,0,0,0,0,0,0,0
2023,253 ч.2,Статья 253 часть 2,0,0,0,0,0,0,0,0,0
2019,267 ч.2,Статья 267 часть 2 УК РФ,1,0,0,1,0,0,0,0,0
2018,273 ч.2,Статья 273 часть 2 УК РФ,52,1,2,24,23,1,1,0,0
2024,251 ч.1,Статья 251 часть 1,3,0,0,0,0,3,0,0,0
2020,271,Статья 271 УК РФ,0,0,0,0,0,0,0,0,0
2022,263.1 ч.2,Статья 263.1 ч. 2,1,0,0,0,0,0,0,0,0
2021,263 ч.2,Статья 263 ч. 2,12,1,6,6,0,0,0,0,0
2023,253 ч.3,Статья 253 часть 3,2,0,0,2,0,0,0,0,0
2019,267 ч.3,Статья 267 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2018,273 ч.3,Статья 273 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,251 ч.2,Статья 251 часть 2,1,0,0,0,0,1,0,0,0
2020,271.1 ч.1,Статья 271.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,263.1 ч.3,Статья 263.1 ч. 3,0,0,0,0,0,0,0,0,0
2021,263 ч.2.1,Статья 263 ч. 2.1,2,0,1,1,0,0,0,0,0
2023,254 ч.1,Статья 254 часть 1,4,0,0,0,0,3,0,0,0
2019,267.1,Статья 267.1 УК РФ,3,0,1,0,1,0,0,1,1
2018,274 ч.1,Статья 274 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,251 ч.3,Статья 251 часть 3,0,0,0,0,0,0,0,0,0
2020,271.1 ч.2,Статья 271.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,263.1 ч.4,Статья 263.1 ч. 4,0,0,0,0,0,0,0,0,0
2021,263 ч.3,Статья 263 ч. 3,8,0,6,1,0,0,0,0,0
2023,254 ч.2,Статья 254 часть 2,0,0,0,0,0,0,0,0,0
2019,268 ч.1,Статья 268 часть 1 УК РФ,9,0,2,1,6,0,0,0,4
2018,274 ч.2,Статья 274 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,252 ч.1,Статья 252 часть 1,2,0,0,0,0,2,0,0,0
2020,272 ч.1,Статья 272 часть 1 УК РФ,8,0,0,0,0,5,1,0,0
2022,264 ч.1,Статья 264 ч. 1,3174,3,47,82,2684,146,21,48,8
2021,263 ч.4,Статья 263 ч. 4,0,0,0,0,0,0,0,0,0
2023,254 ч.3,Статья 254 часть 3,0,0,0,0,0,0,0,0,0
2019,268 ч.2,Статья 268 часть 2 УК РФ,5,0,2,3,0,0,0,0,2
2018,274 ч.1,Статья 274 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,252 ч.2,Статья 252 часть 2,0,0,0,0,0,0,0,0,0
2020,272 ч.2,Статья 272 часть 2 УК РФ,12,0,0,2,3,3,4,0,0
2022,264 ч.2,Статья 264 ч. 2,1493,3,530,904,10,6,3,3,8
2021,263.1 ч.1,Статья 263.1 ч. 1,1,0,0,0,0,0,0,1,0
2023,255 ч.1,Статья 255 часть 1,0,0,0,0,0,0,0,0,0
2019,268 ч.3,Статья 268 часть 3 УК РФ,2,0,1,0,1,0,0,0,0
